trade_id,user_id,conf_date,leg_1_type,leg_1_amount,leg_1_conf_status,leg_2_type,leg_2_amount,leg_2_conf_status
723caaXA0YO7c,811rbsjbfvi,2022-08-27,GMX,64.37,confirmed,GateToken,Unknown,confirmed
703OgOAauuRk5,811rbsjbfvi,2022-10-25,Solana,91.48,confirmed,Bitcoin SV,Unknown,confirmed
909tUGkUOeulV,811rbsjbfvi,2022-09-29,Solana,274.81,pending,Gnosis,Unknown,pending
335z4Bo8ArzXH,811rbsjbfvi,2022-09-30,Compound,64.88,confirmed,Solana,Unknown,pending
603GrV2LPBVu7,811rbsjbfvi,2022-11-28,Neo,177.47,confirmed,Avalanche,Unknown,declined
375ma52a1ptQd,811rbsjbfvi,2022-09-21,Gnosis,19.42,confirmed,Litecoin,Unknown,declined
733CPscpz52HT,811rbsjbfvi,2022-09-26,Kusama,72.73,pending,GateToken,Unknown,pending
898wvZGlBTh7b,811rbsjbfvi,2022-10-16,Litecoin,91.85,confirmed,GMX,Unknown,pending
762QBjpMhYeRg,811rbsjbfvi,2022-11-24,Illuvium,75.72,confirmed,Avalanche,Unknown,declined
744h1Hj5lIFxK,811rbsjbfvi,2022-08-07,Ethereum Classic,110.83,confirmed,Illuvium,Unknown,confirmed
499RbCfatK2Jj,811rbsjbfvi,2022-07-17,Avalanche,85.39,confirmed,Solana,Unknown,declined
336lJ1BzowRfM,811rbsjbfvi,2022-11-01,IOTA,127.16,confirmed,Solana,Unknown,confirmed
8339yNHjvUBkg,811rbsjbfvi,2022-11-07,Ethereum Classic,144.99,confirmed,Compound,Unknown,confirmed
446hF2wCcYf1u,811rbsjbfvi,2022-11-23,LINK,82.25,confirmed,GMX,Unknown,confirmed
405IcNQZwEeUI,811rbsjbfvi,2022-09-23,Neo,33.95,confirmed,GMX,Unknown,confirmed
934nGQ9mQq0e4,811rbsjbfvi,2022-10-28,Kusama,114.26,confirmed,GateToken,Unknown,confirmed
623YkyidnHSIu,811rbsjbfvi,2022-10-04,GateToken,152.78,declined,Solana,Unknown,declined
431TOfBUABp43,811rbsjbfvi,2022-10-13,Avalanche,77.08,confirmed,Bitcoin SV,Unknown,confirmed
3856tlGVz1R4B,811rbsjbfvi,2022-09-12,GMX,98.47,confirmed,Compound,Unknown,confirmed
364z39DeKZKP0,811rbsjbfvi,2022-11-07,GMX,42.46,confirmed,LINK,Unknown,confirmed
875sMlvmFMnQg,811rbsjbfvi,2022-11-27,Compound,69.19,confirmed,Solana,Unknown,declined
803R3JXaFG9Gk,811rbsjbfvi,2022-07-24,Litecoin,67.44,confirmed,Monero,Unknown,confirmed
508qttANbXbhP,811rbsjbfvi,2022-07-05,Gnosis,54.53,confirmed,Bitcoin SV,Unknown,confirmed
4141HK9Cgc71x,761yhdztyrq,2022-08-14,Illuvium,95.93,confirmed,LINK,Unknown,confirmed
518y2SLSWKpDC,743kfwnnnzy,2022-11-19,LINK,32.31,confirmed,Avalanche,Unknown,confirmed
369pTuEQvc7cV,743kfwnnnzy,2022-09-03,GMX,109.78,confirmed,Avalanche,Unknown,confirmed
543PjrueumwPY,743kfwnnnzy,2022-07-09,Illuvium,67.99,pending,Ethereum Classic,Unknown,pending
